bridge spider	# a large  often found on bridges and near water ().
broken hearted	# (of a person) that has a broken heart
bluenoser	# en A person from Nova Scotia, Canada.
biscrolled	# scrolled (twisted) in two different ways
bacterialization	# The treatment of a crop with bacterium|bacteria in order to promote growth, nutrient uptake etc.
benzodioxole	# en Any of several isomeric tricyclic heterocycles consisting of a benzene ring fused to a dioxole
bino	# en The superpartner of the gauge boson corresponding to weak hypercharge.
blockmodeling	# en The modeling of data using block models|passage=Performance bounds are given for exploratory co-clustering/ '''blockmodeling''' of bipartite graph data, where we assume the rows and columns of the data matrix are samples from an arbitrary population. }}
bink	# en A bench.
bind	# That which binds or ties.# A troublesome situation; a problem; a predicament or quandary.# Any twining or climbing plant or stem, especially a hop vine; a bine.# en A ligature or tie for grouping notes.# en A strong grip or stranglehold on a position that is difficult for the opponent to break.#: ''the Maróczy '''Bind'''''# The indurated clay of coal mines.
bostrychid	# en Any member of the Bostrychidae.
beturtlenecked	# Wearing a turtleneck.
brake van	# en A railway vehicle used to brake a (goods) train, usually placed at the end of the train. These were essential before continuous train braking became more universal.
bustaurant	# An eat-in restaurant situated inside a converted bus.Category:English 3-syllable wordsCategory:en:Restaurants
bibliopolistic	# Of or pertaining to bibliopolism.#: 
bismuthine	# en any hydrocarbyl derivative of bismuthane
butternut	# A North American walnut tree, ''Juglans cinerea''.# The wood or bark of this walnut tree.# The nut of this walnut tree.# A dye made from the fruit of this walnut tree.# en butternut squash#English|Butternut squash.#: ''He made a delicious '''butternut''' soup.''
burning	# The act by which something burns or is burned.# A fire.#: ''The '''burnings''' continued all day.''
Bataillean	# Of or pertaining to  (1897–1962), French writer.Category:English eponyms
bedpost	# Any of the four upright supports of a bedstead.# en A post or pin on each side of the bed to keep the bedclothes from falling off; a bedstaff.#: 
beknotted	# knotted|Knotted again and again; covered with knots.
bag of fruit	# en A suit. <ref>'''2007''', w:Eric Partridge|Eric Partridge, Tom Dalzell, Terry Victor, ''The Concise New Partridge Dictionary of Slang and Unconventional English'', http://books.google.com.au/books?id=7UIjVGcSe8MC&pg=PA28&dq=%22bag+of+fruit%22+-intitle:%22B-double%22&hl=en&ei=dcW_TqD6OMvSmAWvtoikBA&sa=X&oi=book_result&ct=result&redir_esc=y#v=onepage&q=%22bag%20of%20fruit%22%20-intitle%3A%22B-double%22&f=false page 28].</ref>
bicameral legislature	# A legislative body consisting of two chambers or houses.
bandana	# A large kerchief, usually colourful and used either as headgear or as a handkerchief, neckerchief, bikini, or sweatband.# A style of calico printing, in which white or bright spots are produced upon cloth previously dyed a uniform red or dark colour, by discharging portions of the color by chemical means, while the rest of the cloth is under pressure.#: 
bookholder	# A support for a book, holding it open for reading or copying.# en A prompter at a theatre.#: 
bookjacket	# The jacket of a book.
bowyang	# en A strap worn below the knee, especially by labourers, to keep the trousers up or to stop them stretching while bending.
bombardier beetle	# A beetle whose defence mechanism enables it to eject a hot aqueous mixture of chemicals at predators. They come from a number of subfamilies:  (e.g., ),  (e.g., ) and  (e.g., ).
blazing	# The act of something that blazes or burns.#: ''the '''blazings''' of many fires''
biotitic	# en Of or relating to biotite.
backspin	# en To spin (a ball) with this motion.# en To play a section of a record in reverse, as a disc jockey; to apply spinback.
bathycardia	# en A condition in which the heart occupies a lower position than normal
burdener	# One who burdens; an oppressor.
bioflocculate	# To flocculate biological material (typically algae) by means of a bioflocculant
bisacridine	# en Any compound containing two acridine moieties (fused or otherwise linked)
baby carriage	# a cart that is designed for moving a baby around in a lying position
baby powder	# An astringent powder used for preventing diaper rash, as a deodorant, and for other cosmetic purposes.
be able to count on one's fingers	# Used to indicate that the number of some specified thing is very small.#: ''You '''can count on your fingers''' the number of capital cities I know.''
biophor	# en A supposed supramolecular unit of heredity
bovial	# Of or pertaining to cattle.|lang=en|title=The Deluge&mdash;A ''Ridiculous'' Drama|author=P. T.|magazine=The Literary Lounger|year=1826|month=May|pageurl=http://books.google.com/books?id=4J7GeNihl-sC&dq=bovial&pg=PA231#v=onepage&q=bovial&f=false|page=231}}
brain mushroom	# A fungus common in Europe and North America and one of several species of fungi known as false morel|false morels, especially ''Gyromitra esculenta''.
baldie	# en Somebody who is bald.# en The bald eagle (''Haliaeetus leucocephalus'').# en A fish, the baldchin groper.
beta-pleated sheet	# beta sheet
brakemaker	# A manufacturer of brakes.
beggartick	# Any of several flowering plants of the genus Bidens
biosimilar	# en A variant of a biopharmaceutical that is marketed following the expiry of the original patent.
begrip	# en To grip around or about; get a grip on; grasp.
bilevel	# A house with two adjacent levels that are less than a story apart#: ''They live in a little '''bilevel''' on the edge of town.''# en A binary image, one that has only two possible values for each pixel (usually black and white)
bright lights	# en The glamour and glitz of a place, especially a big city
Bambara groundnut	# The edible seed of an African plant related to beans, , which produces its seeds underground, like peanuts.
bloodwood	# Any of various trees having red wood:## en Certain eucalypts##* ##* '''1988''', Tom Cole, ''Hell West and Crooked'', Angus & Robertson 1995, p. 255:##*: I cut '''bloodwood''' saplings and shaped a new pair of shafts with an adze.### , genus ''Corymbia'' (formerly )### ,  (formerly )## en A loblolly bay (tree) ().## , a tree found in Central and South America.## Any of several trees from the genus ''Pterocarpus'', of the African and Asian tropics.## , a tree from Mexico.# en The wood of such trees.
berkemeyer	# A drinking glass with a wide, flared bowl, dating from 15th-century Germany and the Netherlands, with a characteristic green or yellow colour caused by iron impurities in the sand used for glass production.
bodysurfer	# One who bodysurfs.
bamf	# en Signalling a user's disappearance from a discussion, chat room, etc.
bipotency	# The condition of being bipotent
BDSMer	# en One who participates in BDSM.Category:en:People
bioutilization	# The utilization of biological resources, typically via biotechnology
blushlike	# Resembling a blush.
birthday attack	# A method of code decryption which exploits the so-called birthday paradox.
baldpated	# en Lacking hair on the head; bald.
bamp	# en An idiotic and ill-mannered person.
bickerment	# en argument|Argument, bickering.
boschnaloside	# en A particular glycoside.|passage=The eighth step in the pathway is conversion of '''boschnaloside''' to 8-epideoxy loganic acid which involves hydroxylation/oxidation reaction. }}
blackball	# en To vote against, especially in an exclusive organization.#: # en To ostracize.
basilar	# Of, pertaining to, or located at a base, but especially at the base of the skull or a lung.# Lower; inferior; base.
bellyload	# en The amount that will fit in one's belly.# en The amount or number that will fit inside an aircraft.# en A large amount or number (of something).
bradyon	# en A tardyon.
Botany Bay dozen	# en 25 lashes, ie. strokes of a whip across a person's back as a punishment. <ref>w:Robert Hughes (critic)|Robert Hughes, ''w:The Fatal Shore|The Fatal Shore'', 1987, paperback 1996 , chapter 12.</ref>
bromoacetamido	# en A univalent radical derived from bromoacetamide
ballplaying	# Taking part in ball games; being a ballplayer.
Box and Cox	# Two people who occupy the same post or location in an alternating arrangement.Category:English eponyms
brazen bull	# An ancient torture device, supposed to have been devised by , consisting of a hollow bull fashioned from brass in which victims were imprisoned and burned to death.#: 
brusque	# Rudely abrupt, unfriendly.
balmily	# In a balmy manner.
besalted	# Treated with salt, covered with salt or turned into salt.
balneologist	# balneotherapist
biolith	# en A rock or other geological feature formed by living organisms.
bare-assed	# bare-bottomed# en naked, starkers# en blatant, unashamedCategory:English parasynthetic adjectives
balalaika	# en A plucked stringed instrument with a triangular body, short neck and three strings, of Russian origin.
bitensor	# en A tensorial function of pairs of points.|passage=This requires a careful analysis of how changes of the spin supplementary condition are related to shifts of the body's representative worldline and transformations of the body's multipole moments, and we employ '''bitensor''' calculus for a precise framing of this analysis. }}
basepath	# en The grassless ways around the baseball diamond on which runners advance.|passage=Jackson broke up a potential double play in the 1978 World Series when he froze on the '''basepaths''' and turned his hip into a throw.}}
brooklime	# Certain plants of genus ''Veronica'', with usually blue flowers in axillary racemes:##  ()##  ()
bewhisper	# en To whisper.
broadwise	# en breadthwise|Breadthwise.
beggingness	# The state or quality of being begging.
blank end	# en An end in which no stones are touching the house, and thus no points are scored.
bustitute	# To substitute with buses or a bus service, either temporarily or permanently.
bemused	# deeply thoughtful; preoccupied# perplexed and bewildered
Birkin bag	# A fashionable kind of handmade leather bag.Category:English eponyms
bona omi	# en A beautiful man; a handsome man.
Barthian	# Of or relating to  (1886–1968), Swiss Reformed theologian.# Of or relating to  (born 1930), American writer known for his postmodernist and metafictional fiction.Category:English eponyms
beerware	# en software|Software that can be used under a relaxed licence, with the user encouraged to pay for the software by donating to its author enough money to buy a beer.
bookfell	# A skin prepared for writing upon; a sheet of vellum or parchment; paper.# A vellum or parchment manuscript.
buffer solution	# en A solution, containing a buffer, that maintains a relatively constant pH
biokerosene	# A biofuel that may be substituted for kerosene (''aviation fuel'')
BDSM	# en sexual|Sexual practices or activity|activities involving bondage, discipline, sadism, masochism, or acts of domination and submission.
berylliferous	# Containing or yielding beryllium.
breastgirth	# A piece of horse tack for preventing the saddle to slip backwards.#: # An oblong application supporting the mammary|mammaries of a human female#: 
birdfeeder	# A device placed outdoors to supply food to birds.|passage=Although artist-designed urns and other objects are still a tiny fraction of the $11 billion death-care industry, as it is known, the gallery’s opening — along with novelty items like wind chimes with built-in cavities, pencils made from cremated remains (roughly 250 pencils per person), diamonds made from ash carbon and '''birdfeeders''' designed to scatter ashes — reflect the shifting demographics of death and disposition.}}
brasilodontid	# en Any member of the Brasilodontidae.
bell-bind	# Rutland beautyCategory:en:Morning glory family plants
bigophone	# en Any of a series of cheap musical instruments, made to resemble orchestral instruments, that were blown in the manner of a kazoo
borefield	# An area where bores or wells are drilled.
bankless	# Without a bank.|passage=Since no other bank had a branch in the county, two other banks had set up tables on East Main Street to entice the newly '''bankless''' — one by means of little stuffed ducks, the other with tricolor highlighters emblazoned with the bank logo.}}
bazonga	# en A female breast.
balsamation	# The act of imparting balsamic properties.# The art or process of embalming.
blackout lamp	# A hand-held lamp that has sliding or rotating doors to adjust the amount of light emitted.
bush-league	# en minor-league|Minor-league; second-rate.
bidesmosidic	# en Having two sugar chains.
BIMBO	# en 
botts	# The disease caused by the maggots of the horse bot fly when they infect the stomach of a horse.# en Infection by maggots under the skin of cows, or by sheep maggots in the frontal sinus of sheep.
brush aside	# en To disregard, dismiss or ignore something, as unimportant.#: ''He '''brushed aside''' all my objections and went ahead with the project, regardless.''# en To defeat with ease.|lang=en|date=October 20, 2011|author=Michael da Silva|title=Stoke 3 - 0 Macc Tel-Aviv|work=BBC Sport|url=http://news.bbc.co.uk/sport2/hi/football/europe/15285214.stm|page=|passage=The ease with which Stoke '''brushed aside''' their Israeli opponents bodes well for the return fixture in early November, when a win could could secure their passage to the last 32.}}
bohrbug	# en A software bug which manifests reliably under a well-defined, but possibly unknown, set of conditions.
beer pong	# en A drinking game in which players attempt to throw a ping pong ball into cups of beer.
botryllid	# Any tunicate of the genus 
bottle brush	# A brush, having bristles that radiate from a central stem, used for cleaning bottles.# Any of several plants having a similar appearance, especially  or .
beachrock	# en A type of sedimentary rock found at a seashore
basipterygium	# A cartilage at the base of the fins of some fish that develops into the metapterygium upon maturity
Bantoid	# Of or relating to a putative branch of the Benue-Congo branch of the Niger-Congo language family.
bookcross	# To leave a book in a public location to be found and read by others, who then do likewise.
bott hammer	# en A en used to process en.
broad-leaved epiphyllum	# , a species of cactus whose flowers usually bloom only one night a year.
biomat	# en A clogging layer of typically densely packed decaying organic matter which impedes the downward flow of water.# A restrictive layer that develops beneath the distribution lines of the soil absorption system of septic tanks at the gravel-soil or bed-soil interface.
break a lance	# en to take a stand, to contend    # 
biofunctionally	# In a biofunctional manner
Bravais lattice	# en An infinite array of discrete points generated by a set of discrete translation operations <math>\mathbfR} = n_
Bambi factor	# The idea that many anti-hunting arguments are based on the cuteness of the animal being hunted.Category:English eponyms
broccoflower	# Either of two edible plants of the species ''Brassica oleracea'' with light green heads.Category:en:BrassicasCategory:en:Vegetables
blue-green bacterium	# cyanobacterium
beefcake	# en imagery|Imagery of one or more muscular, well-built men.# en Such a male, especially as seen as physically desirable.#: # 
Buru babirusa	# , a pig-like animal native to Buru and the Sula Islands in Indonesia.
bit of rough	# en a sexual partner (typically male) of a lower social class
Belieberism	# en The en of wikipedia:Justin Bieber|Justin Bieber.
brownly	# With a brown colour.
bubble butt	# en Large, rounded buttocks.# en A fat person.
biomesh	# A mesh made from biological materials
bikinilike	# Resembling a bikini or some aspect of one.
broose	# en A race from the church to the bridegroom's house, part of wedding festivities.
blaster	# Anything that, or anyone who blasts.#: # A device to detonate an explosive, often consisting of a box with a handle to be pressed down.# en An unspecified powerful hand weapon, usually one that fires an energy pulse or beam.|lang=en|year=1938|month=April|first=Henry|last=Kuttner|authorlink=Henry Kuttner|magazine=wikipedia:Thrilling Wonder Stories|Thrilling Wonder Stories|title=Hollywood on the Moon|volume=11|issue=2|page=26|passage=Blast out the lakes and canals—whittle down the peaks and mounds with atomic '''blasters'''—file them into the shape of gigantic buildings.}}
barranca	# A steep-sided gulch or arroyo; a canyon or ravine.
bedsock	# A sock worn in bed, to keep the feet warm.Category:en:Footwear
brunion	# A hybrid of a plum and a peach.# A nectarine
biphenylene	# en A tricyclic aromatic hydrocarbon formed from two benzene rings joined by two adjacent single bonds; any derivative of this compound
bibliopegy	# The art of bookbinding.
billhead	# A printed form used by merchants in making out bills or rendering accounts.
bracejob	#a blowjob from a person with braces on their teeth
berimbau	# en A musical instrument, consisting of a gourd (as resonator) and a single wire stretched along a pole, used in Brazil
baked Alaska	# A dessert consisting of ice cream encased in cake and meringue and briefly baked. 
bake up	# en to prepare by bake|bakingCategory:English phrasal verbsCategory:English phrasal verbs with particle (up)
Bourne test	# A diagnostic test for vesicointestinal fistulae, based on observation of a urine sample after a barium enema.Category:English eponyms
berascal	# en To accuse of being a rascal or to treat as a rascal.
beyondward	# en Toward a point that lies beyond.
blue-baller	# en A sexually frustrated person; an incel.# en A prickteaser
burnoff	# The act or process of burn off|burning off.|passage=The '''burnoff''' was started by DSE staff yesterday at Harrison’s track, near the Anglesea Flora Reserve.}}
beguiler	# A person who beguiles
blurredness	# The property of being blurred.|passage=We have already seen that it is not blur, or '''blurredness''', itself, since, the special case of photographical images and suchlike apart, this attaches not to objects themselves but only to representations of objects.}}
bashfully	# In a bashful manner.
besort	# en Something fitting or appropriate; suitable company, associates, or attendants.
brotherly	# In the manner of a brother, as a brother, as brothers.
Bernoullian	# Of or relating to the  of merchants and scholars, originally from Belgium, who contributed to the foundations of applied mathematics and physics.Category:English eponyms
Baraita	# en Any of various Jewish traditions that are not included in the Mishnah.
broom up	# en To sweep up (a mess) thoroughly with a broom.#: ''The janitor '''broomed up''' the shards of glass.''# en To strike (a length of wood) repeatedly such that the top of it becomes frayed and worn.#: ''Most of the fence-posts had been '''broomed up''' so badly they weren't usable.''# en To show signs of a witch’s broom (mistletoe) infection; to have the witch's broom infection spread and worsen.#: ''I knew the yew tree was done for when the infection '''broomed up''' its branches.''Category:English phrasal verbsCategory:English phrasal verbs with particle (up)
bookhouse	# a repository for books, library; store of books
Buffian	# en A fan of the television series ''''.
banana paper	# paper|Paper made from part of the stem of the banana plant.# Paper made from banana fibre.Category:en:Paper
background process	# en A process that is not currently able to receive input from its controlling terminal.
breastfeeder	# A nursing mother, one who breastfeeds (suckles a baby).
backdraft	# en Sudden, dangerous recombustion that occurs when there is a rapid reintroduction of oxygen to an enclosed space containing a fire.
baa-lamb	# en A lamb or sheep.# Someone who is submissive, especially a husband or boyfriend.Category:en:People
bulk	# en To appear or seem to be, as to bulk or extent.# en To grow in size; to swell or expand.# en To gain body mass by means of diet, exercise, etc.# en To put or hold in bulk.
bipalmate	# en Describing leaf|leaves that have a palmate structure on petioles that are themselves palmate
benzenonium ion	# en A benzenium ion.
birdmom	# en The female owner of a pet bird.
black-eyed pea	# An African leguminous plant, of the genus ''Vigna'', widely cultivated as food and forage, specifically ''Vigna unguiculata''.# The edible seed of these plants.# en Any pale bean with a black spot.
break of dawn	# daybreak|Daybreak.
beblubber	# en To make swollen, disfigured, bleared, or sullied by weeping.
bugger up	# en To break or spoil something, or make it inoperative, useless etc.#: 
billhook	# To use a billhook
befilth	# en To cover with filth; make filthy; begrime.
beryllium-9	# en The only stable isotope of beryllium, , having four protons and five neutronsCategory:English terms spelled with 9
blackishly	# In a blackish way.
back bearing	# en A bearing taken pointing to the exact opposite direction to the direction heading
biannually	# Taking place twice per year, semiannually.# Taking place every two years, biennially.
buildingwide	# Extending throughout a building|passage=He said a block of unit owners were also hiring an engineer to make sure that '''buildingwide''' systems like heating, cooling and plumbing met the quality standards .}}
blueslike	# Resembling or characteristic of the blues genre of music.|passage=On “Train” it displays heavy-metal flair, and the singer Brad Arnold achieves a '''blueslike''' informality that bespeaks his Mississippi roots.}}
biomodel	# en A mathematical model of a biological system (typically an ecosystem)
bone-eating snot flower worm	# A worm-like creature, ''Osedax mucofloris'', that feeds on the carcasses of minke whales in the North Sea.
Bermuda green	# Having Bermuda green as its color.
bioindustry	# Any of the industry|industries associated with biotechnology
beat into	# To teach or instil by harsh repetition.Category:English phrasal verbsCategory:English phrasal verbs with particle (into)
black ibis	# ''Pseudibis papillosa'', an ibis found in parts of the Indian Subcontinent.
boroglycerol	# boroglyceride
barytonesis	# en The shift of accent from the last syllable of a stem or word to a preceding syllable.
bumblebee moth	# Any of several species of moth that somewhat resemble bumblebees in coloration.##  (magpie moth)## ##  (syn. , )##  ()
biodosimetry	# en The measurement of biological response as an estimate of radiation dose
binoculars	# A hand-held device consisting of a series of lens|lenses and prisms, used to magnify objects so that they can be better seen from a distance, and looked at through both eyes.
bairn's part	# en legitim
biocoenosis	# en A community of interacting organisms that form a natural ecological unit.
bipolymer	# A copolymer derived from two species of monomer.
branchiogenic	# en That originates in the branchial arches
beanfeast	# en A dinner party given to the employees of a firm.# en Any similar social occasion.
benzylidene	# en The bivalent aromatic radical C<sub>6</sub>H<sub>5</sub>-CH=.
biopixel	# en Any of an organized array of colonial bacterium|bacteria
biocentric	# Supporting or pertaining to biocentrism.|passage=For a book with such a strongly '''biocentric''' worldview, “The Wauchula Woods Accord” is strangely Siebert-centric.}}
biallelism	# en A biallelic mutation
bibliophilist	# A lover of books; a bibliophile.
blue hour	# The period of twilight each morning and evening where there is neither full daylight nor complete darkness.
bhadralok	# en A class of rich high-caste (Brahmin) landlords in Bengal formed during the British Raj.Category:en:Collectives
bloodyish	# Somewhat bloody.
Boswellism	# The writing style of  (1740–1795), Scottish lawyer and writer, best known for his biography of .Category:English eponyms
butamisole	# An anthelminthic drug.Category:en:Drugs
bijugate	# en Of a compound leaf, having two pairs of leaflets# en Of leaf arrangement, having pairs of (opposite) leaves, spirally arranged, producing a double spiral<ref>Bell, Adrian D. 1997. Plant form: an illustrated guide to flowering plant morphology. Oxford University Press, Oxford, U.K. </ref>
by and by	# heaven|Heaven; the hereafter. Usually preceded with "the sweet."#: '' I'm sorry ma'am, but your cat's gone on to the sweet '''by and by'''. ''
belaced	# Bordered or adorned with lace
burgoo	File:Kentucky burgoo.jpg|thumb# en A dish which originated among seafarers during the days of sail: a sort of porridge seasoned with sugar, salt and butter.# A spicy stew, typically made with a combination of meats and vegetables, and often served with cornbread or corn muffins.
baculite	# en Any of the extinct genus  of cephalopod heteromorph ammonites.
billboarded	# Lined with billboards.#: ''a heavily '''billboarded''' street''# en Displayed using the billboarding technique.
bobsleigh	# To ride a bobsleigh.Category:en:Winter sports
bipaschal	# Including two Passovers.
bowling bag	# A long bag with two rounded handles, of the kind used for carrying bowling equipment.
break ground	# en To begin digging in the earth at the start of a new construction, or, originally, for cultivation.#: ''They '''broke ground''' on the new library last month.''# en To initiate a new venture, or to advance beyond previous achievements.#: ''The invention '''breaks ground''' in its programming and its structure.''# en To lift off the sea bottom when being weighed.
bright spark	# en A person who is intelligent, clever or quick-witted.#: ''John's youngest is doing well at school. He's a '''bright spark''', isn't he?''
bhakti	# en devotion to God
brachelytry	# en The condition of being brachelytrous
bhakta	# en Someone who practises bhakti; a person who is devoted to God; a devotee; a worshipper.Category:en:People
blatterite	# en An orthorhombic-dipyramidal black mineral containing antimony, boron, iron, magnesium, manganese, and oxygen.
body and soul	# Wholeheartedly.
blockship	# en A vessel that is deliberately sunk in order to block a waterway (to prevent it being used by an enemy)
biotinol	# en A derivative of biotin in which the carboxylic acid is replaced by an alcohol (-CH<sub>2</sub>OH group)
bring over	# #: ''I'll '''bring over''' some sandwiches to the school.''# en To cause to change allegiance or point of view.
back projection	# en A cinematic technique in which live action is filmed in front of a screen on which the background action or a background scene is projected.<!-- there are other meaning of this word from mathematics and tomography -->
bonkersness	# en The quality or state of being bonkers|passage=He's like the Michelle Gomez character in ''Green Wing'' (the one who used to stalk Julian Rhind-Tutt along the hospital corridors) - living proof that an unhealthy interest in filth and a bit of '''bonkersness''' is actually funnier than jokes.}}
bold film	 # en A commercial film that has a pornographic or erotic component; softcore pornography.
bog in	# en To start eating with gusto.# en To tackle a task vigorously.# en to halt the progress of <!--definitely wrong! it's bog + adverbial-->
bluffable	# Capable of being bluffed.
Banbury	# A Banbury cake.
bicaudal	# en Having two tails
brown hyena	# A comparatively rare species of hyena, ''mul'', endemic to desert and semi-desert areas and open woodland savannahs of southern Africa.
bombastical	# en bombastic|passage=Men's future upon earth does not attract it; their honesty and shapeliness in the present does; and whenever they were out of proportion, overthrown, affected, pretentious, '''bombastical''', hypocritical, pedantic, fantastically delicate; whenever it sees them self-deceived or hoodwinked, given to run riot in idolatries, drifting into vanities, congregating in absurdities, planning shortsightedly, plotting dementedly; whenever they are at variance with their professions, and violate the unwritten but perceptible laws binding them in consideration one to another; whenever they offend sound reason, fair justice; are false in humility or mined with conceit, individually or in the bulk--the Spirit overhead will look humanly malign and cast an oblique light on them, followed by volleys of silvery laughter.}}
better half	# en A person's spouse or lover, most commonly a man's wife. Generally jocular, but may be complimentary or as a sign of respect.::* '''1580''', , ''''::: My deare, my '''better halfe''' (sayd hee) I find I must now leave thee.::* My '''better half''' is mad at me again.# en A very close friend or companion
benzotriazolate	# en Any salt or ester of a benzotriazolic acid
blue-rinse brigade	# en elderly|Elderly woman|women with traditional, conservative views.
blastochyle	# en The clear or shiny colorless fluid in the blastodermic vesicles.
bifascicular	# en Relating to both fascicles of the heart
ballcapped	# Wearing a ballcap.
bustline	# A notional line around a woman's bust.# The circumference of this line.
bustling	# A bustle; a busy stir.#: ''the '''bustlings''' of waiters in the crowded restaurant''
be born yesterday	# en To be new, naive, innocent, inexperienced or easily deceived.#: ''I '''was''' not '''born yesterday''', you know. I have done this before!''
bobby-dazzler	# en An attractive person.
British English	# Of or relating to, or spoken or written in British English.
brushstroke	# The stroke of a brush, as in painting.
baby walker	# a device in which a baby sits in a harness within a wheeled frame that supports it whilst walking
brakewoman	# en A female en in en.Category:en:People
Bruceploitation	# en a genre of exploitation film that exploits the legacy of w:Bruce Lee|Bruce Lee through copycats.
bake sale	# fundraising|Fundraising activity where baked goods are sold, with profits going to charity or some other good cause.Category:en:Philanthropy
brooder	# A person who broods# A heated box used for chicks or premature baby|babies
bridge railing	# A guard railing.
beej	# en BJ, a blowjob
bandmate	# Someone with whom one shares membership in a band.
branding iron	# A piece of metal bent into a distinctive shape, heated and used to brand livestock.
breakfastless	# Without breakfast.
boringly	# In a boring manner.#: ''The professor droned on '''boringly''', putting his class to sleep.''
bearsite	# en A monoclinic white mineral containing arsenic, beryllium, hydrogen, and oxygen.
badderlocks	# en The edible seaweed Category:en:Brown algae
badden	# en To become or make bad .
biotaxy	# en The classification of living organisms according to their structural character; taxonomy.
black art	# A practice such as witchcraft, sorcery, necromancy, or black magic.# en A process that is mysterious or difficult to master.#: ''Operating a hand card punch was something of a '''black art'''.''
butanilicaine	# An anesthetic.
bill of mortality	# An official statement of the number of deaths in a place or district within a given time.# A district required to be covered by such a statement.#: ''a place within the '''bills of mortality''' of London''
Burrows-Wheeler transform	# An algorithm used in data compression that rearranges a character string into runs of similar characters.Category:English eponyms
bolection	# en A moulding that covers a joint, especially between joints between surfaces on different levels.
bupivacaine	# A local anesthetic drug of the amino amide group.
bayonetted	# Fitted with a bayonet.#: ''a '''bayonetted''' rifle''
boxlike	# similar to a box
birthdate	# the year, month, and day of someone's birth; date of birth
bleocin	# A commercial form of bleomycin
bandpass	# A bandpass filter
blinkless	# Not blinking.
bear cub	# A young bear.
ballpoint pen	# A pen, similar in size and shape to a pencil, having an internal chamber filled with a viscous, quick-drying ink that is dispensed at the tip during use by the rolling action of a metal sphere (around 0.7 mm to 1 mm in diameter).#: 
Birkie	# en The , a cross-country ski race.
breadwinning	# The earning of a household's primary income.
balas	# en A type of rose-coloured spinel once thought to be a form of ruby (''now usually used attributively: '''balas-ruby''''').
blighting	# The act by which something is blighted.
beachlike	# Resembling a beach or some aspect of one.
Bks	# Abbreviation of en barracks
bubinga	# The timber of various species of .
bare-knuckle boxing	# The original form of boxing, in which no gloves were worn.
black salve	# An escharotic based on bloodroot extract, fraudulently marketed as an alternative cancer treatment.
balistiform	# Characteristic of triggerfish of the family Balistidae# en That swim by undulation of both anal and dorsal fins
behavioral objective	# In behaviorist-based instructional design processes, an expected outcome of an instructional unit. A well-constructed behavioral objective consists of three parts: conditions, behavior, and criteria.#: ''Given a browser and active internet connection, the learner will write an example of a '''behavioral objective''' that is observable and measurable.''
baby-minder	# A childminder or babysitter.
brownness	# The state or quality of being brown.
brabantite	# en A monoclinic-sphenoidal mineral containing calcium, oxygen, phosphorus, and thorium.
black liquor	# A waste product produced during digesting pulpwood into paper pulp.
band-tailed antshrike	# a passerine bird of the antbird family, .
bush pilot	# A pilot who flies small aircraft to and from remote locations, over expanses of relatively unpopulated territory.
bloodsucker	# An animal that drinks the blood of others, especially by sucking blood through a puncture wound; a hemovore.# en Any parasite.# en One who attempts to take as much from others as possible; a leech.# A vampire.
Bohemian waxwing	# The bird .
bed push	# A fundraising event, usually run by hospitals, where a wheeled bed is pushed through the streets to raise awareness of the campaign.
benzenebiphenylchromium	# A chemical compound, C<sub>18</sub>H<sub>16</sub>Cr.
book of hours	# An illuminated Christian devotional book, popular in the Middle Ages.
becharm	# en To charm; fascinate; hold by a charm or spell.
backreference	# en To access (the text matched by an earlier pattern in a regular expression).
bottine	# A small boot; a lady's boot.# An appliance resembling a small boot furnished with straps, buckles, etc., used to correct or prevent distortions in the lower extremities of children.#: 
big crunch	# en A singularity at the centre of a black hole, or the final result of the Big Crunch
buff the muffin	# en To masturbate.
Beltway	# Of or relating to the culture of Washington, D.C.; politicized.Category:en:Washington, D.C., USA
blue mass	# en A pill of prepared mercury, used as an aperient, etc.
batholith	# en A large irregular mass of intrusive igneous rock that has melted or forced itself into surrounding strata.
Bartmann jug	# A bellarmine.
B-movie	# en A low-budget motion picture, especially one with poor production values.
barium	# A metallic chemical element (''symbol'' Ba) with an atomic number of 56.# en A single atom of this element.# en barium sulfate suspension.
brain fag	# A condition to which male high school and college students are prone consisting of difficulty in concentrating, mild forgetfulness, and difficulty in maintaining a train of thought, arising from "too much thinking". Physical symptoms can manifest as well.# cerebropathy
burninate	# en To destroy by fire; to burn.
bust one's balls	# en to work very hard; to put in a lot of effort.
Barmacide feast	# Something that appears highly desirable, but proves to be imaginary, illusory and ultimately very disappointing.
boy bits	# en The male genitalia.
buffly	# en in a buff manner; attractively or muscularly.
begrouch	# en To grouch over; complain about
bag nasty	# en A packed lunch supplied in a bag.
buffle	# en To puzzle; to be at a loss.#: 
blabtongue	# en An informant.|lang=en|year=1600|year_published=1876|first=Rev. Samuel|last=Nicholson|editor=Grosart, Rev. Alexander B.|title=Acolastus: His After-Witte|pageurl=https://books.google.com/books?id=HkuoswEACAAJ&pg=PA14|page=14|lines=229–234|passage=Much like a Curre (ſaid I) nay not so wiſe; / For why I know my griefes vnhappie ground, / I ſee the roote from whence my paſſions riſe, / And view the lure, that did my life confound: / O '''blab-tongue''' ''Tantalus'', why doſt not eate? / Fondling, t'is I must pine in ſight of meate.}}
befriendment	# The act of befriending.
